Table 13												
"Hate Crime Incidents
per Bias Motivation and Quarter
by State and Agency	 2008"												
State	Agency type	Agency name	Number of incidents per bias motivation					Number of incidents per quarter1				Population2
			Race	Religion	"Sexual
orientation"	Ethnicity	Disability	"1st
quarter"	"2nd
quarter"	"3rd
quarter"	"4th
quarter"	
		Santa Maria	2	0	0	1	0	0	3	0	0	"86	744"
		Santa Rosa	0	0	0	1	0	0	0	1	0	"154	874"
		Santee	3	0	0	0	0	1	2	0	0	"53	186"
		Saratoga	0	0	0	1	0	0	0	1	0	"30	346"
		Scotts Valley	1	0	0	1	0	0	0	1	1	"11	129"
		Soledad	0	0	1	1	0	0	0	1	1	"28	685"
		Sonora	1	1	0	0	0	0	1	0	1	"4	617"
		South Gate	1	0	0	0	0	1	0	0	0	"97	179"
		South Pasadena	0	1	0	0	0	0	0	1	0	"24	608"
		South San Francisco	0	0	1	0	0	0	0	1	0	"62	027"
		Stanton	0	0	0	1	0	0	1	0	0	"37	557"
		Stockton	4	2	0	1	0	3	2	0	2	"293	073"
		Susanville	0	0	0	1	0	0	1	0	0	"17	791"
		Temecula	0	2	0	0	0	0	1	1	0	"98	663"
		Temple City	1	1	0	1	0	1	1	1	0	"38	627"
		Thousand Oaks	0	2	0	0	0	0	1	1	0	"124	106"
		Tiburon	1	0	0	0	0	0	0	1	0	"8	682"
		Torrance	5	1	1	0	0	0	1	0	6	"141	819"
		Truckee	0	0	0	0	1	0	0	0	1	"16	317"
		Tulare	1	0	1	0	0	0	2	0	0	"56	624"
		Turlock	0	0	2	0	0	1	1	0	0	"69	738"
		Tustin	3	1	0	0	0	2	0	2	0	"71	272"
		Upland	1	0	0	0	0	0	0	0	1	"72	929"
		Vacaville	1	2	1	0	0	1	1	1	1	"92	424"
		Vallejo	3	2	2	1	0	1	2	3	2	"115	330"
		Ventura	2	0	1	0	0	0	1	2	0	"103	483"
		Vernon	0	2	0	0	0	0	1	0	1	90
		Visalia	1	1	1	0	0	0	0	1	2	"121	850"
		Vista	2	0	0	1	0	1	1	1	0	"90	919"
		Walnut	1	0	0	0	0	1	0	0	0	"31	035"
		Walnut Creek	0	0	1	0	0	0	0	0	1	"63	122"
		Watsonville	1	0	1	0	0	1	0	0	1	"50	211"
		West Covina	2	0	0	0	0	0	1	1	0	"106	524"
